0.00	0.00	21.00
1855.00	0.00	21.00
1855.00	1.00	24.00
3170.00	1.00	24.00
3171.00	0.00	21.00
5024.00	0.00	21.00
5025.00	1.00	24.00
6129.00	1.00	24.00
6130.00	0.00	21.00
8194.00	0.00	21.00
8195.00	1.00	24.00
9149.00	1.00	24.00
9150.00	0.00	21.00
11783.00	0.00	21.00
11784.00	1.00	24.00
12798.00	1.00	24.00
12799.00	0.00	21.00
14913.00	0.00	21.00
14914.00	1.00	24.00
15968.00	1.00	24.00
15969.00	0.00	21.00
17851.00	0.00	21.00
17854.00	1.00	24.00
19106.00	1.00	24.00
19107.00	0.00	21.00
20751.00	0.00	21.00
20752.00	1.00	24.00
21681.00	1.00	24.00
21684.00	0.00	21.00
22358.00	0.00	21.00
22359.00	1.00	24.00
23734.00	1.00	24.00
23736.00	0.00	21.00
24930.00	0.00	21.00
24933.00	1.00	24.00
26484.00	1.00	24.00
26485.00	0.00	21.00
27619.00	0.00	21.00
27620.00	1.00	24.00
29204.00	1.00	24.00
29205.00	0.00	21.00
30250.00	0.00	21.00
30253.00	1.00	24.00
31985.00	1.00	24.00
31989.00	0.00	21.00
33004.00	0.00	21.00
33008.00	1.00	24.00
34795.00	1.00	24.00
34799.00	0.00	21.00
35841.00	0.00	21.00
35845.00	1.00	24.00
37645.00	1.00	24.00
37646.00	0.00	21.00
38774.00	0.00	21.00
38775.00	1.00	24.00
40385.00	1.00	24.00
40386.00	0.00	21.00
41749.00	0.00	21.00
41750.00	1.00	24.00
42957.00	1.00	24.00
42958.00	0.00	21.00
43200.00	0.00	21.00
